상대공항명,IATA,ICAO,기준거리(km),기준년도
인디아폴리스,IND,KIND,"10,829",2014
뉴욕 존 F 케네디,JFK,KJFK,"11,114",2014
쿨릭 레이크,LKK,LKKB,"5,898",2016
보스톤,BOS,KBOS,"10,990",2019
로스앤젤레스,LAX,KLAX,"9,648",2014
라스베가스,LAS,KLAS,"9,691",2014
멤피스,MEM,KMEM,"11,143",2014
마이애미,MIA,KMIA,"12,466",2014
미네아폴리스,MSP,KMSP,"10,055",2019
뉴어크 공항,EWR,KEWR,"11,100",2014
오클랜드,OAK,KOAK,"9,110",2014
시카고 오헤어,ORD,KORD,"10,544",2014
온타리오,ONT,KONT,"9,693",2016
솔트레이크시티,SLC,KSLC,"9,475",2015
샌프란시스코,SFO,KSFO,"9,107",2014
마켓,MQT,KSAW,"10,097",2015
시애틀 타코마,SEA,KSEA,"8,396",2014
루이빌,SDF,KSDF,"11,005",2014
뉴버그 스튜어트,SWF,KSWF,"11,014",2014
앵커리지,ANC,PANC,"6,114",2014
트라비스,SUU,KSUU,"9,090",2014
이와쿠니,IWK,RJOI,641,2014
워싱턴 덜레스,IAD,KIAD,"11,198",2014
상파울로,GRU,SBGR,"18,302",2014
리우데자네이루,GIG,SBGL,"17,344",2016
비라코프스,VCP,SBKP,"18,281",2014
메트로폴리탄,SCL,SCEL,"17,479",2014
엘도라도,BOG,SKBO,"14,856",2016
마리스칼 수크레,UIO,SEQM,"15,134",2016
멕시코시티,MEX,MMMX,"12,115",2017
과달라하라,GDL,MMGL,"11,748",2014
리마,LIM,SPIM,"16,140",2014
칸다하르,KDH,OAKN,"5,510",2014
루안다,LAD,FNLU,"12,638",2015
바레인,BAH,OBBI,"7,092",2014
아디스아바바,ADD,HAAB,"9,204",2014
이맘 호메이니,IKA,OIIE,"6,563",2014
텔아비브,TLV,LLBG,"8,056",2014
나이로비 죠모,NBO,HKJK,"10,057",2014
베이루트,BEY,OLBA,"7,899",2014
말람 아미뉴 카노,KAN,DNKN,"7,173",2016
포트하커트,PHC,DNPO,"12,189",2015
하마드국제공항(도하),DOH,OTHH,"7,070",2014
제다,JED,OEJN,"8,348",2014
담만,DMM,OEDF,"7,152",2014
리야드,RUH,OERK,"7,504",2014
튀니즈,TUN,DTTA,"9,463",2015
엔테베,EBB,HUEN,"10,363",2014
아부다비,AUH,OMAA,"6,848",2014
알 다프라,DHF,OMAM,"6,869",2016
두바이,DXB,OMDB,"6,740",2014
제벨알리 알막툼,DWC,OMDW,"6,779",2014
사자르,SHJ,OMSJ,"6,722",2014
타이쭝,RMQ,RCMQ,"1,564",2014
린이,LYI,ZSLY,771,2019
위해,WEH,ZSWH,375,2014
나트랑,NHA,VVNT,"3,281",2014
염성(옌청),YNZ,ZSYN,723,2014
앤더슨공군기지,UAM,PGUA,"3,219",2014
타이난,TNN,RCNN,"1,716",2014
도하국제공항,DIA,OTBD,"7,050",2014
만저우리 시지아오 공항,NZH,ZBMZ,"1,530",2014
엠벌리 호주 공군기지,AMB,YAMB,"7,735",2014
시즈오카,FSZ,RJNS,"1,098",2014
네피도,NYT,VYNT,"3,534",2014
대용,DYG,ZGDY,"1,751",2014
난퉁,NTG,ZSNT,780,2015
양저우(양주),YTY,ZSYA,819,2015
제너럴산토스,GES,RPMR,"3,488",2015
화이안,HIA,ZSSH,777,2015
오르도스,DSN,ZBDS,"1,450",2016
한티 만시스크,HMA,USHH,"4,714",2016
이오지마,IWO,RJAW,"1,992",2016
린이 슈블링,LYI,ZSLY,771,2016
오스코다,OSC,KOSC,"10,451",2016
바그람 공군기지,OAI,OAIX,"5,069",2014
아스타나,TSE,,"4,524",2014
나보이,NVI,UTSA,"5,224",2014
타쉬켄트,TAS,UTTT,"4,855",2014
바젤,BSL,LFSB,"8,810",2014
시하누크빌 공항,KOS,VDSV,"3,748",2014
